message_id,message_text
1362,"Друзья, я планирую провести эфир с ответами на вопросы по курсу [Менопауза - Молодость без пауз](https://t.me/kosmetologanet/1303). 

Если вы приобрели курс, изучили и у вас остались вопросы, [пишите в личку](https://t.me/kn_support).

Я думаю, 10 дней достаточно, то есть буду собирать вопросы до 10 октября."
1361,"**Уволили за то, что стала старой** 🤬

Женщинам за 40 или за 50 очень повезло - мы вошли в этот возраст, когда набирает популярность тренд Age-friendly (нормальное отношение к возрасту).

**Но еще не так давно миром правил эйджизм**

Думаю, мои ровесницы хорошо помнят Изабеллу Росселини, которая много лет была лицом косметического бренда Lancôme. 

Когда модель перешагнула 40-летний рубеж, бренд расторг с ней контракт из-за возраста. Объяснили, что она уже не может рекламировать (внимание!) антивозрастную косметику и воплощать женскую мечту о вечной молодости. 

Изабелла [призналась](https://www.dailymail.co.uk/femail/article-5433267/Fired-43-old.html), что было очень больно и обидно это слышать. Но она не побежала колоть ботокс или делать пластику.

**Модель ведет здоровый образ жизни и считает, что это противоречащие друг другу вещи** ☝️
 
А когда Изабелле исполнилось 63, ветер подул в другую сторону, ей позвонили из Ланкома и предложили снова стать лицом 
бренда - рекламировать косметику для возрастной кожи.

Меня восхищают и вдохновляют такие женщины, как Изабелла. В косметологии эйджизма всё ещё пруд пруди. И я очень надеюсь, что такие посты вдохновят и вас ухаживать за кожей для здоровья, а не ради иллюзии “вечной молодости”.

Потому что здоровая кожа и ухоженное лицо выглядят хорошо в любом возрасте.

**И моложе. Даже если вы к этому не стремились.**

__knpsi__"
1359,"**После лета появились пигментные пятна** 👣**
**
Это самая частая проблема, с которой осенью обращаются к косметологу. Но не переживайте раньше времени.

Если летом вы использовали крем с высоким spf, скорее всего вы сможете улучшить ситуацию с помощью правильного домашнего ухода. 

**Основные рекомендации**

✅ Продолжайте использовать крем с SPF 30+ даже при низком индексе UV.

✅ Не начинайте борьбу со средств с кислотами и ретинолом.

Сначала нужно восстановить кожу после лета — устранить сухость, поддержать микробиом, выровнять рельеф, иначе вы можете усугубить состояние кожи.

Начните с тех средств, о которых я недавно рассказывала — энзимных пилингов или жожоба, увлажняющих масок, косметики с пребиотиками — все они будут работать на восстановление кожи.

✅ Включите в уход сыворотки с витамином С или ниацинамидом, транексамовой кислотой, экстрактом шелковицы. Они снижают синтез меланина и помогут выровнять цвет лица. Локально на пигментные пятна можно использовать средства с койевой кислотой.

В закрепленном комментарии в списке косметики вы найдете примеры необходимых средств.

Если через 2-3 месяца ваши усилия не увенчаются успехом, то лучше [обратиться к косметологу](https://t.me/kosmetologanet/1191).

❗️__Потому что причиной пигментных пятен может быть не только воздействие солнечных лучей, но и гормональный дисбаланс, травмирующие кожу процедуры, прием некоторых препаратов и др. А солнце лишь усилило эту проблему.
__
И для успешной борьбы с такой пигментацией нужно понять её причины, глубину залегания пигмента, и только после этого  выбирать оптимальный способ решения проблемы.

В некоторых случаях устранить пятна можно только с помощью проф процедур, например лазера.

**Поэтому нет смысла дальше тратить деньги и время, если через 3 месяца от ваших усилий нет заметного эффекта.**"
1358,
1357,
1356,
1355,
1354,
1353,"**Мехико - первое впечатление** 😃

Первый раз мы прилетели в Мексику несколько лет назад. До этого я не знала как выглядит Мехико и перед поездкой не стала смотреть фото, чтобы сразу увидеть город вживую. 

Прилетели мы поздно вечером, по дороге в гостиницу ничего толком не видели. А утром вышли из отеля и оказались на главной улице города - Авенида Пасео де ля Реформа. 

Я осмотрелась и подумала: О, Мехико, вот ты какой!

**Реформа мне сразу понравилась - высоченные пальмы, небоскрёбы, фонтаны - красота! **🌴** **

Мехико конечно город  огромный и очень разный. Ещё во время первой поездки мы успели побывать и даже пожить в разных районах. 

Но Реформа это первое, что я  увидела, поэтому Мехико у меня ассоциируется именно с этой улицей. 

На Пасео де ля Реформа часто проходят интересные выставки под открытым небом, например [выставка коров.](https://t.me/kosmetologanet/1342)

**Первое фото сделано в первую поездку в Мексику 6 лет назад, второе сейчас - на том же самом месте **😊

__knlife__"
1352,"**Как еще помочь коже после лета** 😫**Что включить в уход?**

Ультрафиолетовые лучи обладают бактерицидным действием, и при длительном пребывании на солнце страдает микробиом.

В норме наши микро-друзья помогают поддерживать кожу в здоровом состоянии. Но если микробный баланс нарушается, кожа может стать более сухой и чувствительной.

По этой же причине может возникнуть обострение акне или розацеа, если есть такая предрасположенность. 

**Что делать?**

Помочь коже восстановить микробный баланс, включив в уход косметику с пребиотиками. Это может быть очищающая эмульсия, дневной крем для лица или сыворотка. 

**Всем ли это нужно?**

Не всегда. Молодая здоровая кожа может и сама быстро восстановиться после лета. 

Но если кожа возрастная (40+), чувствительная или проблемная, после отдыха в жарких странах такая помощь не будет лишней.

Включите в ежедневную бьюти-рутину хотя бы одно средство с пребиотиками и используйте его 4-8 недель. В большинстве случаев этого будет достаточно."
1351,
1350,
1349,
1348,
1347,
1346,
1345,
1344,
1343,
1342,"**Мехико. Выставка коров** 🐄

Нам больше всего понравилась корова Фрида Кало и корова-самолет. Но остальные тоже прикольные, я выбрала для вас 10 самых интересных."
1341,"**Сухость кожи после лета** 🌞

Летом верхний слой кожи нередко становится суше. Особенно после отдыха в жарких странах. Это тоже хитрость, к которой прибегает наша кожа, чтобы защититься от проникновения солнечных лучей.

Утолщенный, грубый и сухой роговой слой лучше задерживает ультрафиолет. Поэтому после отпуска, многие отмечают, что кожа стала суше.

Что делать?

Включите в уход увлажняющие маски. В данном случае особенно хороши будут альгинатные или тканевые маски с гиалуроновой кислотой. Такие маски создают окклюзию и хорошо насыщают влагой роговой слой 💧

А в данном случае как раз важно восстановить увлажненность в роговом слое – это поможет сгладить мелкие поверхностные морщинки и быстро придать коже гладкий ухоженный вид.

Вернувшись с моря такие маски можно делать через день, пока состояние кожи не нормализуется. 

Если у вас нет тканевой маски, можно нанести гелевую увлажняющую маску и закрыть ее специальной маской-таблеткой, как на картинке."
1340,"Прилетели в Мехико. На центральной улице города выставка коров 🐄

__knlife__"
1339,"**Кожа постарела после лета - что делать?** 👵

Почему после лета у многих появляются такие проблемы как:

• Пигментные пятна
• Мелкие морщины
• Сухость кожи
• Закупорка пор
• Тусклый цвет лица

Происходит это потому, что одна из главных функций кожи — __защитная__ 🛡

И если вы не смогли защитить кожу от солнца в полном объеме, __она начинает защищаться сама__.

Утолщается роговой слой, появляется сухость. Меланоциты вырабатывают больше пигмента и, к сожалению, не всегда равномерно.

Но не нужно паники. К счастью, признаки фотостарения хорошо поддаются коррекции. В ближайшее время я расскажу вам пути решения 5 основных проблем с кожей после лета.

**Начнем с тусклого цвета лица и сеточки поверхностных морщин**

Чтобы защититься от активных солнечных лучей и не допустить повреждение клеток, роговой слой кожи утолщается. Кожа как бы наращивает броню 🏋️‍♂️

В итоге визуально рельеф кожи выглядит не таким гладким как раньше, и легко образуется сеточка мелких поверхностных морщин.

**Что делать?**

Регулярно, в среднем 1 раз в неделю, используйте пилинги. Они помогут отшелушить избыток ороговевших клеток, верхний слой эпидермиса станет более тонким, более гладким.

Для пилингов с кислотами пока не лучшее время. Но с этой задачей вполне справятся энзимные пилинги или пилинги с гранулами из воска жожоба.

**Примеры таких средств** 💅

Пилинги жожоба:

[Jojoba Peelling Cream](https://amzn.to/4akB4ek) - Dr. Spiller

[Gentle Buffing Cream Jojoba](https://ru.caudalie.com/p/303/vinoclean-mjagkij-otselusivajusij-krem-303.html) - Caudalie 

Энзимные пилинги:

[Enzym Peel Mask](https://delavcosmetics.com/masky/piling-maska-enzymna/) - DeLav

[Enzy-Peel Double-action Exfoliating Mask](https://mederbeauty.com/products/enzy-peel-double-action-exfoliating-mask?variant=44619262263570) - Meder

**Скидки** 🔥

В DeLav сейчас акция - с моим промокодом косметолога скидка -30% на все. [Мой обзор](https://t.me/kosmetologanet/944) поможет определиться, что вам может быть полезно.

Скидка на Медер по моему [промокоду.](https://t.me/kosmetologanet/813)"
1337,"**Эволюция женского купальника в зависимости от возраста** 😎

Точно подмеченно! Жаль возраста 50 нет.
У меня ситуация обстоит так:

• Низ как в 5
• Верх как в 20
• А шляпа как в 60 😂

А у вас?

__#разгружаемся__"
1336,"**С помощью нейросетей пытаемся **научить нашу кошку делать [самомассаж лица](https://t.me/kosmetologanet/1010) 🤗

#__разгружаемся__"
