message_id,message_text
442,"Всем привет, мои дорогие! 

Вот и закончился мой отпуск, на самом деле я уже вовсю работаю 💪🏼
За это время я успела затестить для вас много новинок, которые стали моими фаворитами! 

Делитесь в комментариях, кто, что успел попробовать из данных продуктов! 
Приятного просмотра 🤍"
441,"Часть 3.

Стрелки сделала фломастером для бровей [JEANMISHEL ](https://goldapple.ru/19000046783-one)
Пудра By Terry 
Тушь [Darling](https://goldapple.ru/19760313937-lash-cocoon) 
Кранадаш для губ [Nikk Mole ](https://goldapple.ru/19000220943-lip-pencil)
Помада [ANASTASIA BEVERLY HILLS](https://goldapple.ru/19000164743-satin-lipstick) 

Если было полезно жду от вас реакции и комментарии 🤍"
440,"Часть 2. 

Бронзер [Paese ](https://goldapple.ru/19000014795-selfglow)
Хайлайтер [Paese ](https://goldapple.ru/19000014797-selfglow)
Тени Dior soft cashmere
Гель для бровей Vivienne sabo 
Маркер для бровей [Influence](https://goldapple.ru/19000008528-brow-robot)"
439,"Макияж со мной! 

Продукты, которые я использовала: 
Сыворотка [MA:NYO](https://goldapple.ru/19000198790-bifida-biome-complex-ampoule)
Крем [D'ALBA](https://goldapple.ru/19000076478-waterfull-essence-sun-cream-spf-50-pa)
Крем для глаз [SESDERMA](https://goldapple.ru/24780100005-c-vit) 
Тон Mario 11N (ссылка на байера в моем [гайде)](https://samapokrovskaya.ru/guide) 
Консилер Valentino LN2
Консилер The Saem 1.0 
Контурирующий стик Westman Atelier biscuit  [(гайд)](https://samapokrovskaya.ru/guide)
Румяна Rose Inc hydrangea"
438,
437,
436,
435,"Всем привет! 💔
У меня вышел долгожданный гайд, а точнее ДВА гайда! 

Для кого Guide 1.0? 

Гайд отвечает всем потребностям начинающих и продолжающих визажистов, а также тем, кто хочет научиться разбиратьс в косметике.

Я собрала для вас проверенные лично мною самые любимые продукты разного бюджета, расписала какому типу кожи они подходят! 

Подобраны продукты, которые можно купить в нашей стране, а также за рубежом.
Отметила проверенных байеров, чтобы сберечь ваше время и денежные средства.
Также оставила активные ссылки, по которым можно перейти и сразу купить нужные для себя продукты.
Для особо сомневающихся в оттенках я сделала ВИДЕО свотчей! Потому что часто мы сталкиваемся с тем, что фото в маркетплейсе не соответствует реальному оттенку продукта.

Гайд “Brushes 1.0”

Где я наглядно показываю свои любимые кисти для макияжа: какие для чего нужны, все виды кистей и их предназначение
Разновидности кистей по типу ворса, бюджету и их аналоги. 
Также оставляю активные ссылки, по которым можно пройти и сразу заказать нужные для себя кисти, спонжи, салфетки для очищения кистей! 

Стоимость гайда с косметикой “GUIDE 1.0”
❗️700₽ ❗️

Стоимость гайда с косметикой + гайд по кистям
 “GUIDE 1.0” + “BRUSHES 1.0” 
❗️900₽ ❗️

Для оплаты пишите моему менеджеру в ТГ 
+7 981 703 6262 Екатерина"
434,
433,
432,"Решила не ждать завтрашнего дня. 
Сегодня я не спала почти до 04:00. Все потому что ментально я живу по НЙ времени🥹
Ну, а чем я в ночи занималась? Я смотрела MetGala 2024.

Конечно же, мои глаза жаждали насытиться этим буйством роскошных женщин, так хотелось зарядиться. И пока я смотрела дорожку чувства были разные. И тут появилась она. Не по дресс коду. Но все внутри перевернулось. И вот я зову Дашу(модель), быстро утром ищу платье и аксессуары. И да) вдохновляюсь. 
Вспоминают руки все стайлинговые средства, палетки от Том Форда так и просятся мне в руки😎 и вот оно. Как же я кайфанула. Было шикарно."
431,
430,
429,
428,
427,
426,
425,
424,
423,
422,"Что я отметила для себя на met gala 2024? 
Сюда попали и образы, которые никак не связаны с дресс кодом, и образы, которые кажутся с перегибом. Но они явно откликаются во мне. 
В остальных случаях не случилось мэтча: макияж/прическа/образ. 
Короче, субъективизм от меня. Если есть желание, делитесь в комментариях своим мнением!"
420,"1 Тональное средство Nars Light Reflecting Foundation, Vienna
 2 Консилер Naj Oleari, 01 Beige Chiaro

❗️2000₽❗️"
410,"Всем привет, дорогие! 🤍
Решила устроить распродажу косметики! 
Буду выгружать лоты с описанием и ценой, без свотчей! 
Цена фиксированна! 
Отправка засчет покупателя через СДЭК. 
Прошу писать в комментариях только тем, кто действительно, хочет купить."
409,
408,
407,
406,
405,
404,
403,
