,message_id,message_text
0,544532,"Тут отвечали выше:
Для восстановления любого рефила сухой текстуры (тени; пудры - не имеет значения) или для прессовки рассыпчатых пигментов (кроме крупных блесток) нужны:
1. Изопропиловый спирт
2. Изопропилмеристат (с ним аккуратно, он маслянистый и если пролить - тяжело будет отмыть поверхность) 
3. Пипетки (я использую одноразовые пластиковые) 
4. Шпатель косметический (можно также использовать, например, пинцет) 

✅ шпателем нужно очень мелко-мелко раздробить рефил, чем мельче - тем лучше
✅ затем 3 капли (не больше) изопропилмеристата - можно попробовать перемешать, но скорее всего ничего не получится и поэтому (расчет: 3 капли на рефил 1-1,5 грамма) 
✅ можно сразу добавлять изопропиловый спирт, также по каплям (но тут уже можно сильно не бояться, он все равно выветрится). 
Спирт добавляем и постоянно помешиваем содержимое рефила (важно все очень хорошо перемешать) 
✅ мешаем пока масса не станет густой, и уже перестанет хорошо перемешиватьсч, будет как бы цепляться за шпатель 
✅ время прессовать. По размеру рефила нужно подобрать какой-то предмет, который будет служить прессом - донышко помады/консилера/крышка от бутылки (например) 
✅ через бумажное полотенце/салфетку начинаем прессовать рефил. Имейте ввиду, что если салфетка с перфорированным рисунком, то он отпечатается на рефиле. 
✅ прессовать нужно постепенно. Каждое нажатие - свежий сухой слой салфетки. Так как она будет впитывать в себя излишки спирта 
✅ прессовать нужно не очень сильно нажимая, не изо всех сил. Очень сильно спрессованные тени будут плохо набираться на кисть
✅ когда на салфетке практически перестанет отпечатываться спирт - готово!
✅ оставить открытой палетку на ночь, чтобы все окончательно просохло и спирт совсем выветрится
✅ Все компоненты можно заказать на Яндекс маркете (только рекомендую не брать большие обьемы, так как расход минимальный)"
4,537284,"У меня комби кожа. 
Мне очень подошли: щербеты banila co - розовый, puryfying, у них ещё один есть с кислотами, можно его ещё попробовать. Эти точно не забивают поры. 
Heimish - белый щербет - забивает поры.  С мандарином - ок, но мне не нравится после него ощущение недостаточно очищенных пор. 
Из гидрофилок не рекомендую Anua - тоже как хеймиш- вроде очищает, но расширенные поры остаются на вид грязными, не до конца очищенными. 
Из гидрофилок мне очень нравится skin1004 и celimax вот сейчас начала использовать, норм. Скин1004 у меня на повторе."
9,534432,"Девчонки, я с недавнего времени официально огромный фанат бренда Dasique❤️ Заказала два бальзама из лимитированной коллекции Sakura - ну прооосто восхитительные! В подарок к ним дали милейшие сияющие румяшки🌸 Также взяла праймер сияющий и корректирующую пудру, которую здесь обсуждали уже. ВСЁ рекомендую, девочки, это любовь🥰"
11,534050,"Недавно досмотрела дораму «Однажды разрушение постучалось в мою дверь». Ну очень она очаровательная, трогательная и наивная. Даже на слезу пробило. Рекомендую. Как раз сегодня подумала, что давно не было рекомендаций от Оли, а тут оказывается все есть, а я пропустила!"
12,533793,"Пс, девочки) хотела тут поделиться, купила на сайте Hey babes палетку и тающие бальзамчики от Dasique) очень хотела попробовать тающие бальзамы из основной коллекции, но в наличии их никак не поймать, так что решила обратить внимание на лимитки) ни разу не прогадала, бальзамы очень красивые и комфортные, как я люблю) и взяла ещё палетку теней, тоже очень симпатичная, красивые оттенки, очень лёгкое нанесение, для любителей корейских теней) в посылочку в подарок взяла блеск для губ из той же коллекции, а ещё положили маски, пробники и милые карточки) я довольна, к покупке рекомендую)♥️♥️♥️✨"
14,533555,"Flower knows для меня определенно сценический. Покупался под определенные выступления и косплей. Но не знаю, буду ли его ещё использовать. Румяна тоже у балетной коллекции показались странными и нестойкими. Помады... странненькие и сушат сильно. В общем, я привыкла к явно лучшему для своей кожи. И была разочарована. 
Вот, что у них не возьми- мне сложно рекомендовать. Кроме зеркал :-)))"
15,533207,"Вот карандаш от clio, что Оля показывает, рекомендую, но тушевать нужно быстро. Очень стойкий. Их же тушь стойкая/водостойкая/железобетонная, но не объёмная (а я люблю именно объём). Про палетки не знаю🤷🏼‍♀️ посоветовала бы Наташу Денону i need a Nude, но если вы в России, то ее, скорее всего, не так просто достать. Ещё мой вам совет, не стремитесь сделать максимально нюдовый макияж, как делают многие, иначе на фото можно выглядеть очень бледно (если вы не знойная и загорелая брюнетка/шатенка). В любом случае, желаю вам красивой, весёлой и счастливой свадьбы и всей вашей последующей совместной жизни❤️
ПыСы а я в этот день буду праздновать свой ДР😊"
16,532323,"Мне тоже лореалевский зашел Alliance Perfect который. Ничего не подчеркивает, но и не сильно маскирует. У меня, в принципе,  темных кругов нет, я так чуть тон осветляю, поэтому мне понравился. Если есть проблемы с ""синяками"" или пигментацией, не рекомендую, он очень лёгкий."
18,531708,"У меня муж тоже иногда пытается советы давать, я взрываюсь и реву, как маленькая. Но потихоньку я его воспитала, он знает, что либо вообще не надо мне советов, либо надо очень деликатно рекомендовать, иначе будет скандал. С мамой не общаюсь уже полгода после ее идиотских поступков. И вообще не скучаю по ней, что неудивительно, потому что вот это отношение как к маленькой глупой девочке в печенках у меня уже сидит."
25,528268,"Ещё очень рекомендую тканевые патчи для век Professor SkinGOOD. Отличный состав. Снимает утренние отёки, даже заломы, пусть и временно, но убирает.
Я думала, это ещё один корейский бренд, нет, российский, но делают в Корее."
27,527353,"Купила я эту Sky High, когда была в поиске и буквально все онлайн журналы, которые я открывала, упоминали о ней.
Ужасная!
• ресницы как паучьи лапки
• наслоить не получится, тк она застывает на ресницах моментально
• прочесать и распределить тушь по ресницам тоже не получится, щеточка просто не прочесывает, а только тушь липнет к ресницам
• прилипает намертво - смыть очень сложно, даже средства на основе масла не справляются, все равно тушь остается прилипшая на ресницах
100% не рекомендую эту тушь 🖤🖤😇"
31,525707,"А вообще при онкологии надо аккуратнее с витаминами, лучше проконсультироваться с онкологами на тему что можно, а что нет. Я краем уха слышала, что якобы витамины группы б не рекомендуют. Вам там написали  что к бадам требования низкие, но это распространяется на российскую продукцию, у нас просто не так жёстко всё. А вот БАДы из сша и Европы точно хорошие по качеству"
32,525581,"Всем сердцем рекомендую обратить внимание на фирму human being 

Это чудесная косметика от питерских производителей. Небольшой бренд,набирает обороты


У них прекрасно все. Особенно я балдею от их кремов! Отличный состав, потрясающее действие, а ароматы какие... Питательный крем для лица очень плотный, тягучий, если у вас не очень сухая кожа,то больше на зиму подойдёт , а вот увлажняющий очень лёгкий,но при этом действенный! 


У них есть и отличные солнцезащитные крема


Купить можно на официальном сайте и на озоне/ВБ

Чтобы не нарваться на перекупщиков на маркетплейсах, я рекомендую найти их канал в телеграм, а оттуда уже по ссылкам переходить"
34,525197,"Кошечки, настало «Время призов»!⏰🎁

На @ozonru проходит классная акция ""Время призов»! Можно выиграть сумку Prada, модные образы от стилиста, технику и даже квартиру в Москве!🏠

А что нужно делать? Ничего особенного: совершать свои обычные покупки на Ozon и выполнять персональные задания до 31 мая!🙀

Как вам? По-моему, обалденно!😸

Я уже участвую и жду финального розыгрыша 17 июня в прямом эфире в VK!🏃‍♀️Подробности акции - [ЗДЕСЬ!](https://www.ozon.ru/landing/prizetimeapr/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post)

А вот и хорошенькая подборка идей для красивых и полезных покупок на @ozonru!

💓Роскошный [тинт для губ и щек](https://www.ozon.ru/product/bbia-tint-blesk-dlya-gub-koreya-v-pudrovyh-ottenkah-leau-tint-1567995467/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) Leau Tint от BBIA - в 2023 году он взял первое место в рейтинге корейского бьюти сообщества Powder Room!**

🍐**Шикарный корейский [шампунь для волос](https://www.ozon.ru/product/jul7me-shampun-dlya-volos-500-ml-966999559/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) от JUL7ME (есть и бальзам). А главное - он полностью повторяет аромат Jo Malone English Pear & Fresia. Отмечу, что аромат ОЧЕНЬ стойкий.

👀Редкая находка - [холодное совершенство](https://www.ozon.ru/product/bbia-teni-dlya-vek-paletka-nyudovye-ready-to-wear-eye-palette-1568972404/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) для глаз от BBIA.

🍎Глазирующий [бальзам для губ](https://www.ozon.ru/product/clio-crystal-glam-balm-06-honey-fig-siyayushchiy-balzam-dlya-gub-1539489115/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) от Clio.

☀️Новинка от La Roche-Posay - [сыворотка Mela B3](https://www.ozon.ru/product/la-roche-posay-mela-b3-syvorotka-protiv-pigmentatsii-30-ml-1485137241/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) против пигментации. Это новая формула сыворотки с ниацинамидом, которая мне очень понравилась. Обещают настоящий прорыв в борьбе с пигментными пятнами - я уже купила!

👗Элегантный [жакет](https://www.ozon.ru/product/zhaket-lichi-1572656355/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) Lichi.

🍸И идеальная [юбка к нему](https://www.ozon.ru/product/yubka-lichi-1571343602/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) - замечательный комплект для летних праздников.**

🩰**Очаровательные [кожаные балетки](https://www.ozon.ru/product/tufli-argo-1565681850/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) бежевого цвета от Argo.

🩲И еще раз рекомендую вам [супер удобное белье от MY](https://www.ozon.ru/product/byustgalter-my-1348505918/?utm_source=tg&utm_medium=bloggers&utm_campaign=vremya_prizov_2024_redautumn&utm_content=post) (хлопковую серию). У меня несколько таких топов + слипов для комплекта.
Они максимально комфортные, не застирываются, я в восторге🥰

Всем классных покупок и удачи в розыгрыше!👏[✨](https://ozon.ru/t/Wo04RN)[__Правила акции.__](https://ozon.ru/t/Wo04RN)
**
**__Реклама. ООО «Интернет Решения», 123112 г Москва, Пресненская наб., д. 10 эт. 41 пом I, комн. 6; ОГРН 1027739244741, erid:__ __LjN8K3QXo__"
37,524068,"Ну если посыл для вас, что свое не может стоить дорого, норм, то мы никогда не будем жить хорошо.
Как говорит моя сестра, нужно пологаться на свое мнение, а не блоггеров. Очень много покупала того, что рекомендовали вроде Оли и много чего не подошло. Интересно узнавать о новом, но не более."
44,521399,"✨🛍 В Золотое яблоко привезли новые продукты Shik, трешки для лица и новые коричневые блески. 

На них проходят промокоды ПРИНЦЕССА10 на 10% от 6000 и ПРИНЦЕССА20 на 20% от 10000. Промики до 5 мая. 

Я пропущу, но блеск в оттенке 07tonka могу рекомендовать!"
45,519695,"Девочки, всем приветик ☺️подскажите пожалуйста хорошие тени в складку века, нескатывающиеся в течение дня, для нависшего века, холодного коричневого тона или слегка с блеском или подскажите, какими вы пользуетесь с аналогичным нюансом 🙏🏻🥰 от меня вот такие классные штучки рекомендую"
46,518731,"Хочу сказать про первую палетку теней в подборке- шикарная!!!Но я взяла не такую расцветку,а вторую.Та что с голубыми и зелеными оттенками.На весну и лето самое оно.Оттенки насыщенные,хорошо тушуются.Очень рекомендую❤️"
